SITE ITEMS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ASN,Title,Product_Type,Price,Edition_Display,Image_Path,Lightbox_Paths,Visible_On_Site,Sale_State,Variant_Mode,Variant_Stock_JSON,Stock_Total_Optional,Slug,Description_Short,Notes,Date_Added,Sort_Order,Media_Colour_Map,site_about,site_terms
EX-2026-00001,Test 1 ,T-Shirt,£35.00,50,media/ex-2026-00001/main.webp,media/ex-2026-00001/detail-1.webp|media/ex-2026-00001/detail-2.webp|media/ex-2026-00001/video-1.mp4|media/ex-2026-00001/video-2.mp4,TRUE,for_sale,size,"{""S"":0,""M"":14,""L"":12,""XL"":12}",38,Example Tee 1 ,"á Spread collar
á Button closure
á Logo graphic embroidered at chest and sleeve
á Text bonded at front
á Shirttail hem
á Button barrel cuffs
á Text embroidered at back",1 None,2026-05-15,3.00,,"TEST ABOUT
PaletteKnife is an independent UK label presenting limited editions, garments, objects and curated works through a motion-led digital storefront. Each release is produced in considered quantities, balancing visual identity, rarity and material presence. The project values atmosphere, pace and deliberate presentation over fast retail conventions. Products may appear once, return in altered form, or disappear entirely. We aim to create pieces that feel collected rather than simply purchased. Thank you for visiting and supporting independent work built outside template culture.","TEST PROCESSING
Allow 3-5 working days for orders to be processed unless stated otherwise in a product description.

DELIVERY
3-5 days for Mainland UK

3-7 days for EU countries

5-10 days for the Rest of the World

RETURNS
All Sales Final.

You have 14 days to return your order from receiving shipment.

We offer an exchange or store credit only policy, unless item is damaged upon delivery.

CONTACT
For any inquiries, contact us at studio@paletteknife.uk

Please allow up to 24-48 hours for a response to your inquiry."
EX-2026-00002,Test 2,T-Shirt,£35.00,20,media/ex-2026-00002/main.webp,media/ex-2026-00002/detail-1.webp|media/ex-2026-00002/video-1.mp4,TRUE,for_sale,colour,"{""Green"":0, ""Yellow"":10}",10,Example Tee 2,2 This is a Test for the website ,2 None,2026-05-15,4.00,green|yellow|,,
EX-2026-00003,Test 3,T-Shirt,£350.00,,media/ex-2026-00003/main.webp,media/ex-2026-00003/detail-1.webp|media/ex-2026-00003/video-2.mp4,TRUE,for_sale,colour_size,"{""Brown"":{""S"":0,""M"":14,""L"":12,""XL"":12},""Sepia"":{""S"":12,""M"":0,""L"":12,""XL"":12}}",74,Example Tee 3,3 This is a Test for the website ,3 None,2026-05-15,5.00,sepia|brown|,,
EX-2026-00004,Test 4,T-Shirt,"£1,000.00",,media/ex-2026-00001/main.webp,media/ex-2026-00001/detail-1.webp|media/ex-2026-00001/detail-2.webp|media/ex-2026-00001/video-1.mp4|media/ex-2026-00001/video-2.mp4,TRUE,preorder,colour_size,"{""Brown"":{""S"":12,""M"":14,""L"":12,""XL"":12},""Sepia"":{""S"":12,""M"":14,""L"":12,""XL"":12}}",100,Example Tee 4,"á Spread collar
á Button closure
á Logo graphic embroidered at chest and sleeve
á Text bonded at front
á Shirttail hem
á Button barrel cuffs
á Text embroidered at back",4 None,2026-05-15,6.00,,,
EX-2026-00005,Test 5,T-Shirt,£50.00,1000,media/ex-2026-00002/main.webp,media/ex-2026-00002/detail-1.webp|media/ex-2026-00002/video-1.mp4,TRUE,sold_out,size,"{""S"":12,""M"":14,""L"":12,""XL"":12}",50,Example Tee 5,5 This is a Test for the website ,5 None,2026-05-15,7.00,,,
EX-2026-00006,Test 6,T-Shirt,£100.00,,media/ex-2026-00003/main.webp,media/ex-2026-00003/detail-1.webp|media/ex-2026-00003/video-2.mp4,TRUE,archive_only,colour,"{""Green"":10, ""Yellow"":10}",20,Example Tee 6,6 This is a Test for the website ,6 None,2026-05-15,8.00,green|yellow|,,
EX-2026-00007,Test 7,T-Shirt,£100.00,,media/ex-2026-00001/main.webp,media/ex-2026-00001/detail-1.webp|media/ex-2026-00001/detail-2.webp|media/ex-2026-00001/video-1.mp4|media/ex-2026-00001/video-2.mp4,TRUE,not_for_sale,size,"{""S"":12,""M"":14,""L"":12,""XL"":12}",50,Example Tee 7,7 This is a Test for the website ,7 None,2026-05-15,9.00,,,
EX-2026-00008,,T-Shirt,£100.00,,media/ex-2026-00002/main.webp,media/ex-2026-00002/detail-1.webp|media/ex-2026-00002/video-1.mp4,FALSE,media_only,colour,"{""Green"":10, ""Yellow"":10}",20,,,,2026-05-15,1.00,,,
EX-2026-00009,,,,,media/ex-2026-00003/main.webp,media/ex-2026-00002/detail-1.webp|media/ex-2026-00002/video-1.mp4,TRUE,media_nobutton,,,,,,,2026-05-15,2.00,,,
,,,,,,,,,,,,,,,,,,,
